number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_learning_rate,state
0,0.7707071304321289,2024-09-12 05:58:15.561292,2024-09-12 06:00:22.746443,0 days 00:02:07.185151,16,0.4,35,0.003430458471011787,COMPLETE
1,0.8262626528739929,2024-09-12 06:00:22.746443,2024-09-12 06:02:58.638244,0 days 00:02:35.891801,32,0.4,49,0.0037489677501709334,COMPLETE
2,0.8262626528739929,2024-09-12 06:02:58.639250,2024-09-12 06:05:50.286397,0 days 00:02:51.647147,24,0.3,12,0.004102737124216192,COMPLETE
3,0.8333333730697632,2024-09-12 06:05:50.287390,2024-09-12 06:08:44.207462,0 days 00:02:53.920072,20,0.3,17,0.001407710136134975,COMPLETE
4,0.5585858821868896,2024-09-12 06:08:44.208462,2024-09-12 06:11:36.079275,0 days 00:02:51.870813,24,0.3,32,0.00023319385977531022,COMPLETE
5,0.09494949877262115,2024-09-12 06:11:36.080280,2024-09-12 06:12:27.424609,0 days 00:00:51.344329,32,0.1,31,0.00010907320593346602,COMPLETE
6,0.41717174649238586,2024-09-12 06:12:27.425616,2024-09-12 06:15:22.939190,0 days 00:02:55.513574,16,0.3,48,8.177262168632808e-05,COMPLETE
7,0.7969697117805481,2024-09-12 06:15:22.940188,2024-09-12 06:17:57.171258,0 days 00:02:34.231070,28,0.5,33,0.0038036492981467825,COMPLETE
8,0.09090909361839294,2024-09-12 06:17:57.172267,2024-09-12 06:18:49.234415,0 days 00:00:52.062148,20,0.5,22,0.020774121546522712,COMPLETE
9,0.5939394235610962,2024-09-12 06:18:49.235430,2024-09-12 06:21:45.243812,0 days 00:02:56.008382,16,0.2,12,0.000469173918060023,COMPLETE
10,0.10202020406723022,2024-09-12 06:21:45.243812,2024-09-12 06:22:38.295553,0 days 00:00:53.051741,20,0.2,22,2.3924744021459836e-05,COMPLETE
11,0.09090909361839294,2024-09-12 06:22:38.296549,2024-09-12 06:23:30.245255,0 days 00:00:51.948706,32,0.4,49,0.053201852319277744,COMPLETE
12,0.8464646935462952,2024-09-12 06:23:30.245255,2024-09-12 06:26:24.975210,0 days 00:02:54.729955,32,0.4,41,0.0012409227887800365,COMPLETE
13,0.8636363744735718,2024-09-12 06:26:24.976210,2024-09-12 06:29:24.249249,0 days 00:02:59.273039,20,0.1,40,0.0007668831423769818,COMPLETE
14,0.8585858941078186,2024-09-12 06:29:24.251238,2024-09-12 06:32:16.339618,0 days 00:02:52.088380,28,0.1,40,0.0008855237070469115,COMPLETE
15,0.0959596037864685,2024-09-12 06:32:16.340609,2024-09-12 06:33:09.496815,0 days 00:00:53.156206,28,0.1,42,1.4314789556163675e-05,COMPLETE
16,0.5484848618507385,2024-09-12 06:33:09.496815,2024-09-12 06:34:18.979494,0 days 00:01:09.482679,28,0.1,39,0.013245611396353656,COMPLETE
17,0.7888889312744141,2024-09-12 06:34:18.980478,2024-09-12 06:37:12.084717,0 days 00:02:53.104239,28,0.1,39,0.0003949654573941058,COMPLETE
18,0.4717171788215637,2024-09-12 06:37:12.085719,2024-09-12 06:40:06.253188,0 days 00:02:54.167469,20,0.1,45,0.00011722613385956169,COMPLETE
19,0.8181818723678589,2024-09-12 06:40:06.254177,2024-09-12 06:42:59.735669,0 days 00:02:53.481492,28,0.1,27,0.000675921998287054,COMPLETE
20,0.15454545617103577,2024-09-12 06:42:59.736671,2024-09-12 06:43:52.608722,0 days 00:00:52.872051,20,0.1,36,4.4524313449914444e-05,COMPLETE
21,0.87575763463974,2024-09-12 06:43:52.610113,2024-09-12 06:46:46.175744,0 days 00:02:53.565631,32,0.4,44,0.0012916733009237312,COMPLETE
22,0.8696970343589783,2024-09-12 06:46:46.175744,2024-09-12 06:49:39.090217,0 days 00:02:52.914473,32,0.4,45,0.001481205746102483,COMPLETE
23,0.8767676949501038,2024-09-12 06:49:39.091210,2024-09-12 06:52:33.919999,0 days 00:02:54.828789,32,0.4,44,0.0018159767752190257,COMPLETE
24,0.6676768064498901,2024-09-12 06:52:33.919999,2024-09-12 06:55:25.676115,0 days 00:02:51.756116,32,0.4,45,0.01005301811522602,COMPLETE
25,0.8262626528739929,2024-09-12 06:55:25.677113,2024-09-12 06:57:43.546278,0 days 00:02:17.869165,32,0.4,45,0.0019968278742288404,COMPLETE
26,0.7070707678794861,2024-09-12 06:57:43.552531,2024-09-12 06:59:09.432330,0 days 00:01:25.879799,32,0.4,44,0.007481499050941334,COMPLETE
27,0.5666666626930237,2024-09-12 06:59:09.432330,2024-09-12 07:02:03.121113,0 days 00:02:53.688783,32,0.4,27,0.000307436401683873,COMPLETE
28,0.8606060743331909,2024-09-12 07:02:03.122648,2024-09-12 07:04:55.232771,0 days 00:02:52.110123,32,0.4,37,0.0018495882445372196,COMPLETE
29,0.09090909361839294,2024-09-12 07:04:55.233769,2024-09-12 07:05:47.073323,0 days 00:00:51.839554,32,0.4,50,0.03601358045565235,COMPLETE
30,0.09090909361839294,2024-09-12 07:05:47.073323,2024-09-12 07:06:38.689255,0 days 00:00:51.615932,24,0.4,47,0.09688542972417655,COMPLETE
31,0.8232323527336121,2024-09-12 07:06:38.695758,2024-09-12 07:09:30.555473,0 days 00:02:51.859715,32,0.5,43,0.0022636953021705976,COMPLETE
32,0.8232323527336121,2024-09-12 07:09:30.556475,2024-09-12 07:12:24.834149,0 days 00:02:54.277674,16,0.4,35,0.0006228426107903739,COMPLETE
