mean,std
324.4785,85.76464
89.565155,25.484186
26.341171,29.574263
11.952434,16.726906
-2.8559194,15.673131
-6.826586,12.89005
-4.168508,9.540171
-5.759893,7.9362903
-2.2262506,7.143082
-1.8630722,6.967275
-3.7399662,6.0877924
-3.1870348,6.1629715
-4.180774,5.8520913
0.08305323,0.07810805
0.026490878,0.046937607
0.32191178,0.26530224
0.34278288,0.28246585
0.30474466,0.262004
0.28633815,0.24788149
0.31958467,0.2705394
0.3295421,0.27022594
0.36770287,0.29717097
0.37762448,0.29308796
0.4191529,0.30241707
0.543822,0.3487047
0.5440589,0.35393238
0.37149683,0.2809425
51.87445,7.5267572
50.30558,4.2476263
51.73812,4.213154
54.10564,4.587198
55.04058,4.9237766
54.365986,5.941769
56.69642,6.4341035
58.27978,6.51383
60.11783,6.8991027
56.21173,8.105386
54.011383,9.239377
52.461246,9.977269
52.24672,10.597752
51.55628,11.57246
50.56448,11.363632
49.805134,12.026131
48.951588,13.116413
49.32191,13.55299
48.616154,13.653074
46.372704,13.670793
45.50679,13.773838
43.867657,13.649098
42.28746,13.685569
41.453236,13.980502
40.236546,13.764649
38.91616,13.695797
37.83062,13.619244
37.023075,13.5282345
36.830593,13.611657
36.722282,13.757761
35.939457,13.509197
35.215683,13.592416
34.783432,13.587312
34.433662,13.486928
34.160538,13.146363
33.589687,13.349816
33.337753,13.512692
33.330566,13.664427
32.886715,13.411068
32.508053,13.275505
31.94646,13.020446
31.52893,12.927282
31.395039,12.771832
31.044653,12.764238
30.754307,12.856337
30.383339,12.717357
30.364546,12.805314
30.62498,12.864852
30.258179,13.074983
29.974644,13.024356
29.942001,13.01
29.836533,13.091177
29.682762,12.949152
29.409822,12.926513
29.380032,12.972429
29.293217,12.848321
29.000252,12.753935
28.933432,12.555241
28.62712,12.308691
27.896172,11.88548
27.39864,11.302584
27.039402,11.0864725
26.645039,10.995637
26.474592,10.751516
26.033882,10.436308
25.497808,9.973325
25.080545,9.812112
24.834934,9.6885605
24.93402,9.854833
25.039577,10.0442
24.926262,10.031266
24.830534,9.986081
24.915314,10.043363
25.036028,10.157157
25.288733,10.3783045
25.525202,10.436862
25.266289,10.271562
24.94179,9.94058
24.58073,9.487139
24.15435,9.231353
