number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_lstm_layers,params_num_mlp_layers,state
0,1.6156838843782069,2024-10-23 03:31:26.914734,2024-10-23 03:50:31.139223,0 days 00:19:04.224489,26,0.2,70,1.0307774453267922e-05,6,1,COMPLETE
1,1.651535838256448,2024-10-23 03:50:31.140223,2024-10-23 04:07:49.609994,0 days 00:17:18.469771,44,0.3,60,2.6779340800639522e-05,1,2,COMPLETE
2,1.6105628490447998,2024-10-23 04:07:49.609994,2024-10-23 04:26:27.651925,0 days 00:18:38.041931,41,0.2,61,2.6431329571535655e-05,3,3,COMPLETE
3,1.5016063374988102,2024-10-23 04:26:27.652926,2024-10-23 04:43:50.665638,0 days 00:17:23.012712,50,0.2,47,0.0029155510034371127,1,3,COMPLETE
4,1.578199274822817,2024-10-23 04:43:50.665638,2024-10-23 05:02:25.477359,0 days 00:18:34.811721,53,0.1,80,3.987247262759713e-05,5,3,COMPLETE
5,1.5213914096961587,2024-10-23 05:02:25.478360,2024-10-23 05:20:10.849581,0 days 00:17:45.371221,54,0.2,100,0.004386980285770681,2,2,COMPLETE
6,1.528333241737495,2024-10-23 05:20:10.850581,2024-10-23 05:38:36.788510,0 days 00:18:25.937929,17,0.3,34,0.00011789178317553456,5,1,COMPLETE
7,1.567950638350794,2024-10-23 05:38:36.789510,2024-10-23 05:56:39.901499,0 days 00:18:03.111989,45,0.1,98,3.0808483408677224e-05,6,3,COMPLETE
8,1.444326720803471,2024-10-23 05:56:39.901499,2024-10-23 06:13:47.856408,0 days 00:17:07.954909,26,0.3,103,0.0011222746602528575,1,3,COMPLETE
9,1.4582274854789345,2024-10-23 06:13:47.856408,2024-10-23 06:32:26.110975,0 days 00:18:38.254567,48,0.3,72,0.00043256659349543173,2,3,COMPLETE
10,1.4630588394908581,2024-10-23 06:32:26.111975,2024-10-23 06:51:28.344232,0 days 00:19:02.232257,30,0.3,126,0.000774690291625685,3,2,COMPLETE
11,1.4317603888754118,2024-10-23 06:51:28.345232,2024-10-23 07:10:26.875265,0 days 00:18:58.530033,30,0.3,101,0.0006352842539113214,2,3,COMPLETE
12,1.4328474906339483,2024-10-23 07:10:26.876266,2024-10-23 07:28:49.860006,0 days 00:18:22.983740,31,0.3,105,0.001438621602442292,2,3,COMPLETE
13,1.6061798130455665,2024-10-23 07:28:49.861005,2024-10-23 07:45:32.236800,0 days 00:16:42.375795,34,0.3,120,0.008174720287389749,2,2,COMPLETE
14,1.4458448705026659,2024-10-23 07:45:32.237800,2024-10-23 08:04:29.905541,0 days 00:18:57.667741,35,0.3,112,0.0001920869602848955,4,3,COMPLETE
15,1.4538944249233956,2024-10-23 08:04:29.906541,2024-10-23 08:22:57.072439,0 days 00:18:27.165898,62,0.3,91,0.0016588016513708632,3,2,COMPLETE
16,1.43284249928038,2024-10-23 08:22:57.073439,2024-10-23 08:41:38.908098,0 days 00:18:41.834659,17,0.1,113,0.0005196875665348091,2,3,COMPLETE
17,1.4562604099209027,2024-10-23 08:41:38.908098,2024-10-23 09:00:47.097830,0 days 00:19:08.189732,21,0.1,89,0.00040376078239961387,4,1,COMPLETE
18,1.4926448031603279,2024-10-23 09:00:47.098830,2024-10-23 09:19:04.871933,0 days 00:18:17.773103,16,0.1,112,0.00010467954813117201,2,2,COMPLETE
19,1.5159651730424266,2024-10-23 09:19:04.872934,2024-10-23 09:36:56.994110,0 days 00:17:52.121176,22,0.1,116,0.00023380874267649,1,3,COMPLETE
20,1.4348533902734013,2024-10-23 09:36:56.994110,2024-10-23 09:55:14.927029,0 days 00:18:17.932919,38,0.1,90,0.0005723996029026701,3,2,COMPLETE
21,1.4625561029628171,2024-10-23 09:55:14.927029,2024-10-23 10:13:40.607277,0 days 00:18:25.680248,31,0.3,102,0.002104268346608932,2,3,COMPLETE
22,1.4453161467536022,2024-10-23 10:13:40.607277,2024-10-23 10:31:45.857676,0 days 00:18:05.250399,26,0.3,128,0.0010651291529802638,2,3,COMPLETE
23,1.5668856526229342,2024-10-23 10:31:45.857676,2024-10-23 10:50:11.425908,0 days 00:18:25.568232,21,0.1,109,0.0032977190918628703,3,3,COMPLETE
24,1.4657563718698792,2024-10-23 10:50:11.426908,2024-10-23 11:08:07.275598,0 days 00:17:55.848690,30,0.3,83,0.0013470791743560298,1,3,COMPLETE
