number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_mlp_layers,params_num_rnn_layers,state
0,0.025909228019499443,2024-11-23 01:04:27.341305,2024-11-23 01:13:55.979770,0 days 00:09:28.638465,32,0.3,128,1.48169056887279e-05,1,3,COMPLETE
1,0.024598418863913358,2024-11-23 01:13:55.980770,2024-11-23 01:23:12.406509,0 days 00:09:16.425739,64,0.3,32,0.0001340504917774188,2,6,COMPLETE
2,0.0226837744712895,2024-11-23 01:23:12.406509,2024-11-23 01:31:28.659523,0 days 00:08:16.253014,80,0.3,128,0.0027869922399479667,1,5,COMPLETE
3,0.02503980793448776,2024-11-23 01:31:28.659523,2024-11-23 01:49:17.829262,0 days 00:17:49.169739,64,0.3,64,0.00012642697898289555,1,1,COMPLETE
4,0.021892093124750957,2024-11-23 01:49:17.830265,2024-11-23 02:16:37.978710,0 days 00:27:20.148445,80,0.2,80,0.0006079169411183385,2,3,COMPLETE
5,0.02469078990880608,2024-11-23 02:16:37.978710,2024-11-23 02:40:48.900865,0 days 00:24:10.922155,80,0.1,64,6.550765804166144e-05,2,6,COMPLETE
6,0.03358601705612571,2024-11-23 02:40:48.901865,2024-11-23 03:01:50.373249,0 days 00:21:01.471384,96,0.2,64,1.0446399635344341e-05,1,1,COMPLETE
7,0.02300989295806183,2024-11-23 03:01:50.373249,2024-11-23 03:10:42.761549,0 days 00:08:52.388300,96,0.2,96,0.0001730787713900939,2,5,COMPLETE
8,0.023199469007810305,2024-11-23 03:10:42.762549,2024-11-23 03:18:59.274907,0 days 00:08:16.512358,80,0.1,80,0.00017033892944189828,2,2,COMPLETE
9,0.022605956784755243,2024-11-23 03:18:59.274907,2024-11-23 03:27:35.947558,0 days 00:08:36.672651,64,0.3,96,0.006051239759990239,2,3,COMPLETE
10,0.022022337921280815,2024-11-23 03:27:35.948557,2024-11-23 03:37:57.888903,0 days 00:10:21.940346,16,0.2,80,0.0012729927505079435,2,4,COMPLETE
11,0.022371588838113115,2024-11-23 03:37:57.888903,2024-11-23 03:48:20.308030,0 days 00:10:22.419127,16,0.2,80,0.0011278207627868457,2,4,COMPLETE
12,0.022172861666414433,2024-11-23 03:48:20.308030,2024-11-23 03:58:48.406600,0 days 00:10:28.098570,16,0.2,112,0.000989763146465459,2,4,COMPLETE
